player,age,team,position,games,minutes_per_game,fg_pct,three_pct,ft_pct,oreb_per_game,dreb_per_game,rpg,apg,spg,bpg,tov_per_game,pts_per_game
Joel Embiid,29,PHI,C,39,33.6,0.529,0.388,0.883,2.4,8.6,11.0,5.6,1.2,1.7,3.8,34.7
Luka Doncic,24,DAL,PG,70,37.5,0.487,0.382,0.786,0.8,8.4,9.2,9.8,1.4,0.5,4.0,33.9
Giannis Antetokounmpo,29,MIL,PF,73,35.2,0.611,0.274,0.657,2.7,8.8,11.5,6.5,1.2,1.1,3.4,30.4
Shai Gilgeous-Alexander,25,OKC,PG,75,34.0,0.535,0.353,0.874,0.9,4.7,5.5,6.2,2.0,0.9,2.2,30.1
Stephen Curry,35,GSW,PG,74,32.7,0.450,0.408,0.923,0.5,4.0,4.5,5.1,0.7,0.4,2.8,26.4
Nikola Jokic,28,DEN,C,79,34.6,0.583,0.359,0.817,2.8,9.5,12.4,9.0,1.4,0.9,3.0,26.4
Anthony Edwards,22,MIN,SG,79,35.1,0.461,0.357,0.836,0.7,4.8,5.4,5.1,1.3,0.5,3.1,25.9
Tyrese Maxey,23,PHI,PG,70,37.5,0.450,0.373,0.868,0.5,3.2,3.7,6.2,1.0,0.5,1.7,25.9
LeBron James,39,LAL,PF,71,35.3,0.540,0.410,0.750,0.9,6.4,7.3,8.3,1.3,0.5,3.5,25.7
Trae Young,25,ATL,PG,54,36.0,0.430,0.373,0.855,0.4,2.3,2.8,10.8,1.3,0.2,4.4,25.7
